week,channel,spend,visitors,signups,activated_users,retained_users_w4,revenue
1,Organic Search,0.0,3890,172,99,68,2656.31
1,Paid Social,4078.47,6373,171,57,16,488.27
1,Paid Search,3995.76,2909,141,58,24,970.61
1,Referral,448.66,864,89,69,46,2315.53
1,Email,182.88,1269,102,55,32,1142.96
2,Organic Search,0.0,3742,158,99,61,2181.92
2,Paid Social,3483.53,6726,171,50,12,391.56
2,Paid Search,4045.37,3213,190,89,35,1461.62
2,Referral,502.74,831,103,61,42,2019.13
2,Email,196.84,1364,120,77,41,1509.82
3,Organic Search,0.0,3969,196,103,62,2205.63
3,Paid Social,3787.88,5717,162,56,16,530.52
3,Paid Search,4147.62,2963,205,98,49,1627.35
3,Referral,487.11,923,107,75,42,2053.87
3,Email,208.34,1491,113,63,35,1451.75
4,Organic Search,0.0,4030,171,97,60,2632.47
4,Paid Social,3511.51,5819,139,42,12,394.02
4,Paid Search,4088.48,3153,162,75,32,1324.47
4,Referral,502.45,876,124,88,61,3027.29
4,Email,196.74,1279,102,73,41,1604.98
5,Organic Search,0.0,3990,158,94,61,2633.01
5,Paid Social,3745.49,5618,120,43,14,403.62
5,Paid Search,4220.93,3073,175,73,33,1327.25
5,Referral,477.01,929,128,83,54,2919.65
5,Email,202.27,1370,123,64,37,1442.54
6,Organic Search,0.0,4282,168,82,52,2141.77
6,Paid Social,3489.42,5983,139,49,14,416.0
6,Paid Search,4364.0,3672,194,98,40,1941.68
6,Referral,486.68,987,129,93,67,3985.43
6,Email,195.35,1496,109,61,35,1375.37
7,Organic Search,0.0,4199,204,112,77,2998.49
7,Paid Social,3465.11,6856,156,49,14,437.99
7,Paid Search,4428.36,3460,206,92,36,1547.66
7,Referral,520.51,982,103,73,51,2324.62
7,Email,206.6,1561,110,67,40,1684.62
8,Organic Search,0.0,4488,174,88,56,2355.09
8,Paid Social,3923.77,5843,154,58,17,579.44
8,Paid Search,4555.56,3270,181,85,36,1633.26
8,Referral,473.72,1092,140,85,55,3049.46
8,Email,197.74,1574,116,73,39,1514.08
9,Organic Search,0.0,4253,178,114,74,2360.56
9,Paid Social,3113.45,5592,151,49,13,437.01
9,Paid Search,4184.81,3597,208,96,40,2117.78
9,Referral,496.59,981,128,104,76,3222.64
9,Email,225.43,1536,114,70,43,1482.54
10,Organic Search,0.0,4282,130,65,39,1365.35
10,Paid Social,2924.75,6017,143,50,15,411.08
10,Paid Search,4517.31,3720,201,100,45,1903.46
10,Referral,527.14,972,117,86,65,2847.71
10,Email,194.02,1853,145,91,53,1888.59
